link,text
https://vk.com/wall-147614552_6998,"‼‼‼‼‼  По просьбам наших подписчиков мы продлеваем сроки до 24 апреля. Результаты объявим 24 апреля в 14.30  ‼В преддверии 92-го дня рождения нашей газеты и дня Ямальских СМИ - 19 апреля проводим ежегодный конкурс совместно с Ассоциацией «Ямал-потомкам!», поддержанный Президентом Яунгад Э.Х. 📘 Предлагаем на выбор опубликовать фотографии под этим постом:  🔹с нашей газетой (где вы увлечённо читаете, узнаёте что-то новое, рассматриваете фотографии, рисунки!) 📖 🔹если же у вас нет фотографии с газетой, предлагаем опубликовать фотографии на тему «Рабочие будни оленеводов и рыбаков нашего округа» 📗 Условия просты: ➡фотографии сделаны в 2022-2023 году ➡фото должно быть подписано (где и когда было сделано, что или кто изображен) ➡самые лучшие фотографии будут опубликованы в номерах газеты «Няръяна Ӈэрм» и «Мынико» 📖 ❓количество фотографий не ограничено, важно только то, что они сделаны в указанный нами период; 📖 Самые лучшие фотографии будут удостоены призов: 📘 1 место - подписка на 2024 год газеты Няръяна Ӈэрм и приз Ассоциации «Ямал-потомкам!» 2 место - подписка на первое полугодие 2024 газеты Няръяна Ӈэрм и сувенир от Ассоциации «Ямал-потомкам!» 3 место - подписка на три месяца 2024 года газеты Няръяна Ӈэрм и приз Ассоциации «Ямал-потомкам!»  Результаты объявим 19 апреля в день рождения Ямальских СМИ. 📖 #Нам92 #НяръянаНгэрм"
https://vk.com/wall-147614552_7081,"Нерняӈы яляна’’ е’’эмня Сие’’ ниць иры’ 20 яляхана округна’’ ерв, Дмитрий Артюхов янда терха’’ лаханась. Интернет’ мутра’ сер’ пудана самляӈг по’’ ямбан’ манзара’’мида ваде’’ӈась. Нюртей вадада ява’’ лэтрамбади’’ нямна ӈась. Пыда тарем’ мась: «Теда’ таӈга нива’’ иле’’, хусувэй яля’ сидна’’ лэтрамбадина’’ нямна ибедорӈава’’. Маня’’ мяканана’’ мэнаӈэ сиддо’, таддикахад мято’ тер сямян ӈамгэхэна нядабабна’’ серо’’ӈа’’. Сайнорта’’ мякадандо’ ӈаха’’на мэ’’. Ӈадьбята мято’ тер маня’’ нядабина’’. Пыдо’ е’’эмняндо’ тарця’’ няд’’ма’’ ӈадимяць: ӈацекыто’ секцияха’’ мирци’’ ханаць пир’’ма; таӈы ныланавамдо’ тидхалембава; налог’’ салдамбава; юрист’’ няби психолог’’ нянандо’ манзарава; еси’’ няд’’мам’ няби лекар’’ сертификатм’ ня’’марпава. Ӈокханда тет ю’’ няд’’ма’ пир». Ӈамгэ’’ таславы серода таня’’, яна’’ тер’’ мал’’ намдыдонзь. Ненадовна ваде’’мыда илаӈганана’’ тарана’’ серо’’ нямна ӈаць. Мядо мимбава 2025 по’ ӈэсонд’ сидя ю’’ ёнар’’ тибей’’ мяка’’на илена’’ ненэця’’ едэй’’ мяк’’ илелтыд’’. Пудана самляӈг похона 10573 мяд’ тер’’ едэй мяк’’ ямдавыд’’. Сехэры’’, еся’’ хан’’ Ӈокханда 1000 километр’ пир сехэрым’ сулормы’’. 2023 похона 200 километрам’ сулорць тасламби’’. Новой Уренгойхана едэй тиртя ӈано’’ ӈамдолава ӈадимясь. Нядаӈгардахана няби Саляӈгардахана ӈэда аэропорт сулорта’’. Яна’’ тиӈгэвна мат’’ модульной аэровокзал’’ ӈадимы’’. 2023 похона Кутопьюганхана няби Шурышкарыхана тарця’’ сертаӈгу’’. Лекар’’ манзая Едэй лекар’’ мядо мимбаӈгу’’. Лекараха’’на тарана ӈаво тэвраӈгу’’. Несэй яхат манзаранадамдо’ ханда’’. Хуркари’’ мутра’’ ӈадимда’’, ненэцие’’ лекар’’ мят’ тэворма нензелмда. Ӈэрм’ тер’’ нива хаӈгурма е’’эмня едэй проект’’ ӈадимда’’. Хусувэй хибям’ нядабаӈгу’’. Ӈацекы’’ тохолкось ё’’, нюдяко’’ ӈацекы’’ мэлава’’ Хусувэй яханана’’ илена ӈацекы’ ил’ сава ӈэбта тара. Ӈадьбята вадёдана’’ ӈацекы’’ е’’эмня сямян ӈамгэм’ сертаби’’. Яханана’’ спортм’, тохолковам’, сенз няби мел’ ӈэвам’ минреӈгу’’, тикахана Ямалва’’ нерняри’ минда. Вэва’’ серкат лэтрева Ӈарка’’ марка’’на видео няд’’мяць харад’ поӈгым’, пихий илам’ маниеӈгу’’. Ервсипой’’ тирта мутра нядмята’’. Мер’ мимбада’’ харад’’ палытана’’ ед’ ӈадимда’’. Мале’ округна’’ тиӈгэвна тарця харад – си’’ив, тамна матм’ нэӈгу’’. Ту хабтабадина’’ ӈани’ нина’’ юрыбю’’. Пыдо’ е’’эмняндо’ 13 мядм’ миваць. Мал’’ сензӈэ, таӈга илевана’’ е’’эмня программа таняӈгу. Саць ненадумдавэда - «Ямал-100». 2030 похона Ямална’’ юр’’ поданда ханда. Тикы нерцю’’ ӈока тарана ӈамгэм’ серта тасламби’’. Яна’’ ӈарка соя’’ма’ яля ненадо яляӈэ толёда. Округна’’ тер’’ иландо’ тад нерня’ саваривна мима’ е’’эмня варемдо’ мэта’’. Ноябрьск няби Новой Уренгой ӈобтарем’ ӈарка соя’’ма’ ялэди’ мэтӈаха’. Хардато’ терха’’ хуркари лекар’’ мядо, тохолкось ё, илесь мядо сертаӈгу’’. Тарем’ Россия’ ерв нямэхэна табековысь. Тохолкоди’’ серо минрена департаментан’ Ямална’’ ерв ӈани’ вадам’ ӈэдаравы. Ӈацекы’’ Восток’ няна илена’’ ненэцие’’ ила’ саирм’ теневабто’ серо’’ӈа. Ӈадьбята е’’эмняндо’ яӈга курс ӈадимдеӈгу’’. Дмитрий Артюхов’ вадавна тохолкодаха’’на тарця теневабцо’’ сяхари’ ӈули’’ тараӈгу’’. Нянда инзеле’’махад Ямал’ терӈэ нерняӈы яляна’’ нямна ина’’ ӈылмна таӈгава’’. Тарця ӈуданданана’’ таняб’’, илма’’ минаць минда."
https://vk.com/wall-147614552_7079,"Редакцияхана’’ [id674322462|Тимофей Лаптандер]  няби исполнительной директор Союза оленеводов Ямала [id234567255|Владимир Худи]  турӈаханзь. Пыди’ ӈуда’ терм’ тэвравэхэнзь. Нянанди’ Сёяха’ тер Герман Лаптандер товэсь.  Мяк’’ тона’’ ненэциена’’ сертавы  [club147614552|Няръяна Нгэрм - старейшая газета Ямала]  манэсарӈаць. Лакри’ Владимир нисянда сидяӈгм’ манэ’’ӈа. Нисянда нюм’ Иван Паривич Худи. Пыда Яр-Саля’ вымна мюсерта ненэць’. 👍  Тимофей Нэкович няби Герман неновна сертавы сидяӈгм’📸 хоӈаханзь. Харти’ сидяӈгамди’ манэсартаханди’ тамальӈгы иле’’миди’ тензибтеӈаханзь.😊  Ти, тарем’ газетаханана’’ харе’’ тадта’’мамда’’, теневана нямда’’ манэць пир’’ӈада’’.😉"
https://vk.com/wall-147614552_7043,"Тюку яля ӈули” сава яля. ""Няръяна Ӈэрм"" газетахана манзарана няна” соя”ма яля. Ӈамгэ” я’ ниня сава” вада” таня” мал” нянд хэтабина”. 🎉🎉🎉  Галина Сергеевна, сензан ӈа”, падыбадид явнандо’ хан”ӈая”. Манзаямд етри’ нерня’ минред”! ✍🏻 💐🎂🎁  Юне падыбада” яля’ ед’ [club147614552|Няръяна Нгэрм - старейшая газета Ямала] тер” Законодательной Собранияхад ненадо падро ня”маць.🗞📜"
https://vk.com/wall-147614552_7037,"В день Ямальских СМИ предлагаем вашему вниманию необыкновенные фотографии из поездок по округу, сделанные Хабэчей Хываревичем Яунгад в 80-е, 90-е годы. В комментариях можете написать имена людей, которых вы узнали."
https://vk.com/wall-147614552_7019,Всех причастных ко Дню Ямальских СМИ.👍
https://vk.com/wall-147614552_7017,"Хуняна юне тэволана"", юне падыбада"" ненэцие"" ненадо яля. Редакцияхана"" телевидениям' няби радиом' минрена"" нина"" турӈаць. Едэй программам' 🎥 сертабиць."
https://vk.com/wall-147614552_6985,"Сидя мэбете""э 🤼‍♂️ Яков Яптик 🥇 няби Дмитрий Окотэтто 🥈 [club147614552|Няръяна Нгэрм - старейшая газета Ямала]  📸 #сеяха#национальнаяборьба#деньоленевода#ямал#север"
https://vk.com/wall-147614552_6979,"В редакцию газет «Няръяна Нгэрм» и «Мынико» требуется корреспондент.  Основные требования к соискателю: • Высшее профессиональное образование; • Свободное владение ненецким (тундровым диалектом) и русским языками; знание иностранных языков приветствуется. • Наличие навыков фото и видеосъёмки. • Коммуникабельность • Творческий подход к работе. • Умение профессионально работать в социальных сетях • Владение MS Excel, MS Office   Резюме отправлять по электронной почте NN-YNAO@yandex.ru"
https://vk.com/wall-147614552_6975,"Сянакова' яляхана ӈэдалёванда"" ненэця"" тыдо' мере""ӈая""! 👍  Видео сие"" ниць иры' 12 яляхана Сеяха' выӈгана сертавы. Ты пэртя"" сянакова' яля нерцю"" тыдо' тохоламби"".  Сямянхат мерета ӈэдалёда' нюм' пуна намдаӈгува"".😉 [club147614552|Няръяна Нгэрм - старейшая газета Ямала] юн' толабида"", тикахана вадетава""✍."
