translate_ru,translate_nn,source,article_ru,article_nn
Старик-ханты живет на своей тальниковой речке.,Хаби вэсако Неро яхаконда ниня иле.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Рыбы, ко-торую поймает осенью, хватает ему обычно до весны; рыбы, которую весной поймает, хватает ему обычно до осени."," Ңэрёй халяда нарэй ня-ханда тэвасеты”, нарэй халяда ңэрёй няханда тэвасеты”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Всего их четверо: зять, дочь, жена и он."," Пыдо’ ян’ тетамбодо’ — ийда, не нюда, пухуцяда.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Так живут три года., Тарем’ ня-хар” по’ иле”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Однажды посреди зимы, в сильный мороз пошли вдвоем’про-верять свои сети."," Ся”ны’ ңэбто’ ңод” сыра’ сава ерня, тарця тець-дахана поңгади’ ватавнзь хаяха’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Старик-ханты привязал свой сети на палку, целый день держит конец сети, не шевелясь."," Хаби вэсако поңганда мадерм’ тебде, яля’ ямбан’ поңганда хам’ хасена ня”мбида.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Зять обвязал свои санки веревками, ожидая деда, очень замерз."," Ийюм’ сюн-камда хурада, иримда ңате ңули” ханимя.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Когда свечерело, его дед поднял голову и тут же заговорил: — Надо же, оказывается, я долго думал, ты не замерз?"," Нув’ пэвсюмзь ирида ңэвамда ила тикарихина вахалъй”: — Хэ’, ими пон’ ядэрмакы, нин ханив”?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Вдвоем пошли в свой чум., Мяканди’ хаяха’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Старик долго сидит, держа свою ложку над чашкой с кашей, старуха его говорит: — Что же ты так долго тихо сидишь, думаешь?"," Пухуцяда хаскам’ пиревы. Хумда хасканда хыдя’ ниня ня”амба вэсако пон’ ңамды, пухуцяда маси — Нена’ пон’ хасенананё”, ир ядэрңа?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Старик начал кушать, когда ел, так повел речь: — Задумался я."," Вэсако ңаволы”, ңаворманда сер’ тарем’ ханада: — Ими ядэлавы”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Хочу детей своих двоих отправить, может, ты будешь жалеть их?"," Нюхуюни’ ңэдараван’ харвадм’, сянднакэ-хэюд?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 — Это ведь твое дело., — Харт сел нив’ ңа”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
